2025-06-15 03:12:47,812 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/worker_pool_builder.py:19}  Building WorkerPool...
2025-06-15 03:12:47,813 INFO {/home/zsy/nuplan-devkit/nuplan/planning/utils/multithreading/worker_pool.py:101}  Worker: Sequential
2025-06-15 03:12:47,813 INFO {/home/zsy/nuplan-devkit/nuplan/planning/utils/multithreading/worker_pool.py:102}  Number of nodes: 1
Number of CPUs per node: 1
Number of GPUs per node: 0
Number of threads across all nodes: 1
2025-06-15 03:12:47,813 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/worker_pool_builder.py:27}  Building WorkerPool...DONE!
2025-06-15 03:12:47,813 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/folder_builder.py:32}  Building experiment folders...
2025-06-15 03:12:47,813 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/folder_builder.py:35}  

	Folder where all results are stored: /home/zsy/nuplan/exp/exp/simulation/closed_loop_nonreactive_agents/2025-06-15_03-12-44

2025-06-15 03:12:47,815 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/folder_builder.py:70}  Building experiment folders...DONE!
2025-06-15 03:12:47,815 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/simulation_callback_builder.py:52}  Building AbstractCallback...
2025-06-15 03:12:47,815 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/simulation_callback_builder.py:68}  Building AbstractCallback: 0...DONE!
2025-06-15 03:12:47,815 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/simulation_builder.py:47}  Building simulations...
2025-06-15 03:12:47,815 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/simulation_builder.py:53}  Extracting scenarios...
2025-06-15 03:12:47,815 INFO {/home/zsy/nuplan-devkit/nuplan/common/utils/distributed_scenario_filter.py:83}  Building Scenarios in mode DistributedMode.SINGLE_NODE
2025-06-15 03:12:47,816 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/scenario_building_builder.py:18}  Building AbstractScenarioBuilder...
2025-06-15 03:12:47,823 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/scenario_building_builder.py:21}  Building AbstractScenarioBuilder...DONE!
2025-06-15 03:12:47,824 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/scenario_filter_builder.py:35}  Building ScenarioFilter...
2025-06-15 03:12:47,824 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/scenario_filter_builder.py:44}  Building ScenarioFilter...DONE!
2025-06-15 03:12:47,825 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/simulation_builder.py:74}  Building metric engines...
2025-06-15 03:12:47,828 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/simulation_builder.py:76}  Building metric engines...DONE
2025-06-15 03:12:47,828 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/simulation_builder.py:80}  Building simulations from 1 scenarios...
2025-06-15 03:12:48,050 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/builders/simulation_builder.py:133}  Building simulations...DONE!
2025-06-15 03:12:48,050 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/run_simulation.py:78}  Running simulation...
2025-06-15 03:12:48,050 INFO {/home/zsy/nuplan-devkit/nuplan/planning/script/utils.py:138}  Executing runners...
2025-06-15 03:12:48,050 INFO {/home/zsy/nuplan-devkit/nuplan/planning/simulation/runner/executor.py:82}  Starting 1 simulations using Sequential!
2025-06-15 03:12:49,029 WARNING {/home/zsy/nuplan-devkit/nuplan/planning/simulation/planner/project2/my_planner.py:156}  Negative initial velocity: s_dot_set[0]=-6.106395563668966, using absolute value
2025-06-15 03:12:51,701 INFO {/home/zsy/nuplan-devkit/nuplan/planning/simulation/planner/project2/my_planner.py:235}  end_conditions:16
2025-06-15 03:12:51,701 INFO {/home/zsy/nuplan-devkit/nuplan/planning/simulation/planner/project2/my_planner.py:239}  s_t:29.91288716959476, v_t:6.306224804849031, a_t:0.799316964720262, time:0.25, condition_type:lead_car
2025-06-15 03:12:51,701 INFO {/home/zsy/nuplan-devkit/nuplan/planning/simulation/planner/project2/my_planner.py:239}  s_t:29.91288716959476, v_t:6.306224804849031, a_t:0.399658482360131, time:0.5, condition_type:lead_car
2025-06-15 03:12:51,702 INFO {/home/zsy/nuplan-devkit/nuplan/planning/simulation/planner/project2/my_planner.py:239}  s_t:29.91288716959476, v_t:6.306224804849031, a_t:0.2664389882400873, time:0.75, condition_type:lead_car
